07-23 15:44:16: Training starting...
07-23 15:44:17: New best reward -7.5 (-100.0%) at episode 0, saving model...
07-23 15:44:17: New best reward -6.3 (-16.0%) at episode 2, saving model...
07-23 15:44:18: New best reward -5.7 (-9.5%) at episode 10, saving model...
07-23 15:44:18: New best reward -5.1 (-10.5%) at episode 23, saving model...
07-23 15:44:18: New best reward -4.5 (-11.8%) at episode 24, saving model...
07-23 15:44:18: New best reward -2.7 (-40.0%) at episode 25, saving model...
07-23 15:44:19: New best reward -1.5 (-44.4%) at episode 119, saving model...
07-23 15:44:19: New best reward 1.5 (-200.0%) at episode 137, saving model...
07-23 15:44:19: New best reward 3.9 (+160.0%) at episode 155, saving model...
07-23 15:44:20: New best reward 4.3 (+10.3%) at episode 184, saving model...
07-23 15:44:21: New best reward 4.7 (+9.3%) at episode 244, saving model...
07-23 15:44:21: New best reward 6.5 (+38.3%) at episode 273, saving model...
07-23 15:44:21: New best reward 8.4 (+29.2%) at episode 304, saving model...
07-23 15:44:23: New best reward 13.1 (+56.0%) at episode 421, saving model...
07-23 15:44:28: New best reward 15.2 (+16.0%) at episode 619, saving model...
07-23 15:45:26: New best reward 17.9 (+17.8%) at episode 2920, saving model...
07-23 15:46:10: New best reward 20.2 (+12.8%) at episode 4847, saving model...
07-23 15:46:13: New best reward 20.4 (+1.0%) at episode 4961, saving model...
07-23 15:46:14: New best reward 22.4 (+9.8%) at episode 5012, saving model...
07-23 15:46:19: New best reward 31.9 (+42.4%) at episode 5182, saving model...
07-23 15:46:19: New best reward 36.4 (+14.1%) at episode 5184, saving model...
07-23 15:49:55: New best reward 38.6 (+6.0%) at episode 13213, saving model...
07-23 15:50:35: New best reward 41.2 (+6.7%) at episode 14665, saving model...
07-23 15:50:42: New best reward 50.4 (+22.3%) at episode 14862, saving model...
07-23 15:50:44: New best reward 64.4 (+27.8%) at episode 14930, saving model...
07-23 15:51:53: New best reward 78.4 (+21.7%) at episode 16764, saving model...
07-23 15:52:13: New best reward 82.9 (+5.7%) at episode 17232, saving model...
07-23 15:52:17: New best reward 98.0 (+18.2%) at episode 17341, saving model...
07-23 15:52:41: New best reward 98.1 (+0.1%) at episode 17881, saving model...
07-23 15:53:47: New best reward 101.9 (+3.9%) at episode 19341, saving model...
07-23 15:55:19: New best reward 106.4 (+4.4%) at episode 21371, saving model...
07-23 15:56:55: New best reward 110.9 (+4.2%) at episode 23161, saving model...
07-23 15:57:37: New best reward 138.9 (+25.2%) at episode 23907, saving model...
07-23 16:00:57: New best reward 139.0 (+0.1%) at episode 27417, saving model...
07-23 16:02:45: New best reward 149.6 (+7.6%) at episode 29231, saving model...
07-23 16:09:34: New best reward 150.8 (+0.8%) at episode 36302, saving model...
07-23 16:09:46: New best reward 152.9 (+1.4%) at episode 36478, saving model...
07-23 16:10:10: New best reward 166.9 (+9.2%) at episode 36762, saving model...
07-23 16:10:34: New best reward 171.9 (+3.0%) at episode 37104, saving model...
07-23 16:11:44: New best reward 194.9 (+13.4%) at episode 38009, saving model...
07-23 16:13:25: New best reward 272.8 (+40.0%) at episode 38955, saving model...
07-23 16:19:45: New best reward 286.5 (+5.0%) at episode 43479, saving model...
07-23 16:33:16: New best reward 295.7 (+3.2%) at episode 52649, saving model...
07-23 16:45:15: New best reward 351.1 (+18.7%) at episode 58187, saving model...
