07-23 17:05:57: Training starting...
07-23 17:05:59: New best reward -8.1 (-100.0%) at episode 0, saving model...
07-23 17:05:59: New best reward -6.9 (-14.8%) at episode 3, saving model...
07-23 17:05:59: New best reward -6.3 (-8.7%) at episode 8, saving model...
07-23 17:05:59: New best reward -4.5 (-28.6%) at episode 14, saving model...
07-23 17:06:00: New best reward -2.1 (-53.3%) at episode 54, saving model...
07-23 17:06:00: New best reward 1.5 (-171.4%) at episode 57, saving model...
07-23 17:06:00: New best reward 2.1 (+40.0%) at episode 69, saving model...
07-23 17:06:01: New best reward 3.9 (+85.7%) at episode 86, saving model...
07-23 17:06:01: New best reward 4.3 (+10.3%) at episode 111, saving model...
07-23 17:06:01: New best reward 4.5 (+4.7%) at episode 126, saving model...
07-23 17:06:02: New best reward 6.2 (+37.8%) at episode 149, saving model...
07-23 17:06:02: New best reward 6.6 (+6.5%) at episode 160, saving model...
07-23 17:06:02: New best reward 8.4 (+27.3%) at episode 171, saving model...
07-23 17:06:03: New best reward 10.7 (+27.4%) at episode 225, saving model...
07-23 17:06:04: New best reward 12.9 (+20.6%) at episode 265, saving model...
07-23 17:06:15: New best reward 13.1 (+1.6%) at episode 588, saving model...
07-23 17:06:18: New best reward 18.1 (+38.2%) at episode 667, saving model...
07-23 17:06:23: New best reward 25.1 (+38.7%) at episode 794, saving model...
07-23 17:06:42: New best reward 26.9 (+7.2%) at episode 1201, saving model...
07-23 17:07:12: New best reward 27.4 (+1.9%) at episode 1827, saving model...
07-23 17:07:36: New best reward 29.4 (+7.3%) at episode 2448, saving model...
07-23 17:08:23: New best reward 45.9 (+56.1%) at episode 3358, saving model...
07-23 17:09:21: New best reward 50.4 (+9.8%) at episode 4519, saving model...
07-23 17:09:22: New best reward 82.9 (+64.5%) at episode 4522, saving model...
07-23 17:10:01: New best reward 96.9 (+16.9%) at episode 5152, saving model...
07-23 17:11:41: New best reward 97.2 (+0.3%) at episode 6336, saving model...
07-23 17:11:43: New best reward 106.4 (+9.5%) at episode 6360, saving model...
07-23 17:11:47: New best reward 110.9 (+4.2%) at episode 6386, saving model...
07-23 17:12:11: New best reward 120.4 (+8.6%) at episode 6673, saving model...
07-23 17:12:16: New best reward 121.6 (+1.0%) at episode 6722, saving model...
07-23 17:12:41: New best reward 218.4 (+79.6%) at episode 7019, saving model...
07-23 17:13:47: New best reward 258.8 (+18.5%) at episode 7616, saving model...
07-23 17:14:04: New best reward 449.8 (+73.8%) at episode 7764, saving model...
07-23 17:15:02: New best reward 470.4 (+4.6%) at episode 8374, saving model...
07-23 17:17:24: New best reward 488.9 (+3.9%) at episode 9293, saving model...
07-23 17:26:02: New best reward 1081.9 (+121.3%) at episode 11988, saving model...
