07-23 17:05:56: Training starting...
07-23 17:05:58: New best reward -8.1 (-100.0%) at episode 0, saving model...
07-23 17:05:58: New best reward -7.5 (-7.4%) at episode 2, saving model...
07-23 17:05:58: New best reward -6.9 (-8.0%) at episode 4, saving model...
07-23 17:05:58: New best reward -5.7 (-17.4%) at episode 8, saving model...
07-23 17:05:58: New best reward -5.1 (-10.5%) at episode 14, saving model...
07-23 17:05:59: New best reward -4.5 (-11.8%) at episode 56, saving model...
07-23 17:06:03: New best reward -2.7 (-40.0%) at episode 781, saving model...
07-23 17:06:05: New best reward -1.5 (-44.4%) at episode 979, saving model...
07-23 17:06:05: New best reward -0.9 (-40.0%) at episode 1010, saving model...
07-23 17:06:07: New best reward -0.3 (-66.7%) at episode 1237, saving model...
07-23 17:06:08: New best reward 0.3 (-200.0%) at episode 1301, saving model...
07-23 17:06:09: New best reward 0.9 (+200.0%) at episode 1399, saving model...
07-23 17:06:10: New best reward 1.5 (+66.7%) at episode 1443, saving model...
07-23 17:06:12: New best reward 2.1 (+40.0%) at episode 1553, saving model...
07-23 17:06:12: New best reward 3.3 (+57.1%) at episode 1571, saving model...
07-23 17:06:12: New best reward 3.9 (+18.2%) at episode 1622, saving model...
07-23 17:06:26: New best reward 4.0 (+2.6%) at episode 2838, saving model...
07-23 17:06:27: New best reward 4.9 (+22.5%) at episode 2874, saving model...
07-23 17:06:40: New best reward 5.0 (+2.0%) at episode 3804, saving model...
07-23 17:06:46: New best reward 6.4 (+28.0%) at episode 4118, saving model...
07-23 17:06:52: New best reward 6.7 (+4.7%) at episode 4525, saving model...
07-23 17:07:15: New best reward 6.8 (+1.5%) at episode 6018, saving model...
07-23 17:07:17: New best reward 8.6 (+26.5%) at episode 6149, saving model...
07-23 17:07:21: New best reward 9.0 (+4.7%) at episode 6395, saving model...
07-23 17:07:32: New best reward 11.2 (+24.4%) at episode 7179, saving model...
07-23 17:08:08: New best reward 12.9 (+15.2%) at episode 9164, saving model...
07-23 17:08:58: New best reward 13.9 (+7.8%) at episode 12393, saving model...
07-23 17:09:20: New best reward 15.4 (+10.8%) at episode 13735, saving model...
07-23 17:09:30: New best reward 15.8 (+2.6%) at episode 14343, saving model...
07-23 17:13:12: New best reward 20.2 (+27.8%) at episode 27269, saving model...
07-23 17:13:50: New best reward 22.4 (+10.9%) at episode 29112, saving model...
07-23 17:13:53: New best reward 22.9 (+2.2%) at episode 29321, saving model...
07-23 17:19:14: New best reward 25.0 (+9.2%) at episode 44049, saving model...
07-23 17:21:44: New best reward 26.9 (+7.6%) at episode 49164, saving model...
07-23 17:22:24: New best reward 27.7 (+3.0%) at episode 50447, saving model...
07-23 17:23:12: New best reward 36.4 (+31.4%) at episode 51994, saving model...
07-23 17:23:30: New best reward 36.5 (+0.3%) at episode 52559, saving model...
07-23 17:26:22: New best reward 37.3 (+2.2%) at episode 57969, saving model...
07-23 17:37:06: New best reward 40.9 (+9.7%) at episode 77820, saving model...
07-23 17:40:48: New best reward 45.9 (+12.2%) at episode 84200, saving model...
07-23 17:52:39: New best reward 46.8 (+2.0%) at episode 102625, saving model...
07-23 17:56:10: New best reward 51.4 (+9.8%) at episode 107556, saving model...
07-23 17:56:35: New best reward 54.9 (+6.8%) at episode 108094, saving model...
07-23 17:57:37: New best reward 60.6 (+10.4%) at episode 109622, saving model...
